CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
708790833.0,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31.0,5.0,3.0,2.0,6748.0,1467.0,5281.0,0.831,1201.0,42.0,0.68,0.217,0.00019094,0.99981
712396908.0,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48.0,5.0,2.0,2.0,2436.0,680.0,1756.0,1.19,1570.0,29.0,0.611,0.279,0.00011382,0.99989
709327383.0,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37.0,6.0,1.0,2.0,14470.0,1157.0,13313.0,0.966,1207.0,21.0,0.909,0.08,5.5077e-05,0.99994
811604133.0,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36.0,3.0,3.0,2.0,2492.0,1560.0,932.0,0.573,1126.0,23.0,0.353,0.626,0.00020735,0.99979
789124683.0,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42.0,4.0,2.0,3.0,12217.0,0.0,12217.0,1.075,1110.0,21.0,0.75,0.0,0.00021042,0.99979
771071958.0,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28.0,6.0,1.0,2.0,7768.0,1669.0,6099.0,0.797,1051.0,22.0,0.833,0.215,5.7151e-05,0.99994
787937058.0,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49.0,6.0,2.0,2.0,12555.0,1696.0,10859.0,0.519,1291.0,24.0,0.714,0.135,9.7673e-05,0.9999
715318008.0,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36.0,4.0,2.0,1.0,3520.0,1914.0,1606.0,0.51,1407.0,43.0,0.483,0.544,6.2639e-05,0.99994
720572508.0,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28.0,2.0,3.0,3.0,9830.0,2055.0,7775.0,0.977,1042.0,23.0,0.917,0.209,0.00031726,0.99968
799723908.0,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40.0,4.0,3.0,3.0,19458.0,1435.0,18023.0,0.787,1217.0,27.0,0.8,0.074,0.00030516,0.99969
771490833.0,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40.0,5.0,1.0,1.0,4745.0,1227.0,3518.0,0.624,1140.0,40.0,0.6,0.259,3.031e-05,0.99997
717891558.0,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36.0,6.0,4.0,2.0,3298.0,2200.0,1098.0,0.678,1052.0,32.0,0.6,0.667,0.00022797,0.99977
787584108.0,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47.0,4.0,2.0,3.0,3436.0,2016.0,1420.0,0.901,1097.0,33.0,0.833,0.587,0.00021834,0.99978
711481533.0,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33.0,5.0,3.0,3.0,5926.0,1251.0,4675.0,0.944,1316.0,28.0,1.154,0.211,0.00027604,0.99972
708155733.0,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44.0,4.0,2.0,2.0,14734.0,1634.0,13100.0,0.989,1289.0,23.0,0.917,0.111,0.00011065,0.99989
807986133.0,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52.0,5.0,3.0,3.0,6584.0,1817.0,4767.0,0.62,1353.0,35.0,0.667,0.276,0.00029411,0.99971
788730933.0,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20.0,6.0,3.0,3.0,2084.0,1468.0,616.0,1.004,1132.0,28.0,0.556,0.704,0.00031104,0.99969
720096558.0,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42.0,5.0,3.0,3.0,2216.0,1034.0,1182.0,0.758,1540.0,36.0,0.286,0.467,0.00030251,0.9997
719580033.0,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43.0,4.0,2.0,3.0,2910.0,2030.0,880.0,0.769,1256.0,21.0,0.4,0.698,0.00017969,0.99982
820582308.0,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37.0,6.0,2.0,2.0,22913.0,1528.0,21385.0,0.414,1394.0,35.0,0.522,0.067,0.00012082,0.99988
712876233.0,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36.0,5.0,3.0,2.0,5272.0,1515.0,3757.0,0.857,1289.0,33.0,0.435,0.287,0.00017987,0.99982
714826758.0,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29.0,4.0,4.0,2.0,7038.0,1801.0,5237.0,0.751,2339.0,57.0,0.966,0.256,0.00023192,0.99977
779058108.0,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30.0,6.0,1.0,2.0,2536.0,1823.0,713.0,0.703,1468.0,23.0,0.353,0.719,5.7151e-05,0.99994
755420433.0,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52.0,2.0,3.0,3.0,10133.0,1417.0,8716.0,0.383,1068.0,20.0,0.818,0.14,0.00028395,0.99972
715398033.0,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35.0,4.0,2.0,1.0,19040.0,2056.0,16984.0,0.607,1212.0,31.0,0.722,0.108,6.6728e-05,0.99993
711743883.0,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35.0,5.0,2.0,3.0,4026.0,0.0,4026.0,0.483,1237.0,32.0,0.6,0.0,0.00020424,0.9998
714107958.0,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36.0,4.0,4.0,3.0,6576.0,0.0,6576.0,0.579,1465.0,34.0,0.619,0.0,0.00034315,0.99966
789140283.0,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42.0,5.0,4.0,1.0,2664.0,2037.0,627.0,0.85,1286.0,29.0,0.933,0.765,0.0001125,0.99989
772629333.0,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35.0,5.0,4.0,2.0,3454.0,1200.0,2254.0,0.597,1313.0,30.0,0.304,0.347,0.00022556,0.99977
720336708.0,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35.0,5.0,3.0,2.0,3789.0,1706.0,2083.0,1.047,1609.0,42.0,0.68,0.45,0.00027008,0.99973
779155158.0,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34.0,6.0,2.0,2.0,2940.0,1264.0,1676.0,0.562,1259.0,33.0,0.5,0.43,0.00011811,0.99988
716657058.0,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33.0,2.0,3.0,3.0,8358.0,926.0,7432.0,0.762,1566.0,37.0,0.542,0.111,0.00037329,0.99963
799825758.0,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36.0,5.0,1.0,2.0,3263.0,1674.0,1589.0,0.588,1251.0,35.0,0.346,0.513,5.6153e-05,0.99994
715259583.0,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44.0,3.0,2.0,3.0,5362.0,1901.0,3461.0,0.816,1553.0,38.0,1.0,0.355,0.0001861,0.99981
785387883.0,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41.0,4.0,3.0,3.0,3788.0,1540.0,2248.0,0.566,1594.0,47.0,0.382,0.407,0.00030516,0.99969
711318033.0,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36.0,4.0,2.0,2.0,2926.0,0.0,2926.0,0.676,1304.0,24.0,0.846,0.0,0.00011811,0.99988
710806083.0,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36.0,4.0,2.0,2.0,11888.0,2090.0,9798.0,0.7,1137.0,30.0,0.765,0.176,9.9255e-05,0.9999
714752208.0,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36.0,5.0,1.0,2.0,2393.0,1985.0,408.0,0.788,978.0,16.0,0.778,0.83,5.1697e-05,0.99995
711402333.0,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37.0,2.0,1.0,3.0,3235.0,797.0,2438.0,0.541,1493.0,32.0,1.0,0.246,0.00013405,0.99987
719154483.0,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36.0,5.0,3.0,2.0,7753.0,2100.0,5653.0,0.839,991.0,26.0,0.733,0.271,0.00017486,0.99983
715674483.0,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27.0,4.0,2.0,2.0,6205.0,2517.0,3688.0,0.939,1204.0,19.0,0.727,0.406,0.00013393,0.99987
789968058.0,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42.0,6.0,2.0,3.0,9036.0,2327.0,6709.0,0.649,1131.0,18.0,0.636,0.258,0.00019751,0.9998
718744008.0,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36.0,3.0,2.0,3.0,6335.0,1128.0,5207.0,0.397,1217.0,20.0,0.667,0.178,0.00017969,0.99982
